Date,Index
2018-01-31,1613.0
2018-01-30,1748.0
2018-01-29,1784.0
2018-01-26,1772.0
2018-01-25,1752.0
2018-01-24,1676.0
2018-01-23,1525.0
2018-01-22,1445.0
2018-01-19,1493.0
2018-01-18,1611.0
2018-01-17,1743.0
2018-01-16,2010.0
2018-01-15,2231.0
2018-01-12,2296.0
2018-01-11,2384.0
2018-01-10,2677.0
2018-01-09,2820.0
2018-01-08,2826.0
2018-01-05,2791.0
2018-01-04,2715.0
2018-01-03,2426.0
2018-01-02,2281.0
2017-12-22,2830.0
2017-12-21,3115.0
2017-12-20,3216.0
2017-12-19,3510.0
2017-12-18,3656.0
2017-12-15,3777.0
2017-12-14,3936.0
2017-12-13,4211.0
2017-12-12,4293.0
2017-12-11,4272.0
2017-12-08,4193.0
2017-12-07,4147.0
2017-12-06,4126.0
2017-12-05,4115.0
2017-12-04,4129.0
2017-12-01,4025.0
2017-11-30,3848.0
2017-11-29,3740.0
2017-11-28,3659.0
2017-11-27,3540.0
2017-11-24,3453.0
2017-11-23,3420.0
2017-11-22,3298.0
2017-11-21,3255.0
2017-11-20,3214.0
2017-11-17,3153.0
2017-11-16,3084.0
2017-11-15,3108.0
2017-11-14,3209.0
2017-11-13,3351.0
2017-11-10,3360.0
2017-11-09,3349.0
2017-11-08,3259.0
2017-11-07,3101.0
2017-11-06,3044.0
2017-11-03,3036.0
2017-11-02,3059.0
2017-11-01,3137.0
2017-10-31,3219.0
2017-10-30,3217.0
2017-10-27,3220.0
2017-10-26,3182.0
2017-10-25,3202.0
2017-10-24,3202.0
2017-10-23,3187.0
2017-10-20,3145.0
2017-10-19,3186.0
2017-10-18,3134.0
2017-10-17,3079.0
2017-10-16,2980.0
2017-10-13,2871.0
2017-10-12,2859.0
2017-10-11,2882.0
2017-10-10,2894.0
2017-10-09,2906.0
2017-10-06,2929.0
2017-10-05,2888.0
2017-10-04,2667.0
2017-10-03,2618.0
2017-10-02,2671.0
2017-09-29,2738.0
2017-09-28,2824.0
2017-09-27,2942.0
2017-09-26,3101.0
2017-09-25,3173.0
2017-09-22,3147.0
2017-09-21,2948.0
2017-09-20,2861.0
2017-09-19,2723.0
2017-09-18,2681.0
2017-09-15,2685.0
2017-09-14,2642.0
2017-09-13,2628.0
2017-09-12,2724.0
2017-09-11,2813.0
2017-09-08,2767.0
2017-09-07,2614.0
2017-09-06,2438.0
2017-09-05,2313.0
2017-09-04,2243.0
2017-09-01,2264.0
2017-08-31,2293.0
2017-08-30,2282.0
2017-08-29,2381.0
2017-08-25,2406.0
2017-08-24,2333.0
2017-08-23,2382.0
2017-08-22,2489.0
2017-08-21,2584.0
2017-08-18,2574.0
2017-08-17,2542.0
2017-08-16,2324.0
2017-08-15,2155.0
2017-08-14,2093.0
2017-08-11,2013.0
2017-08-10,1837.0
2017-08-09,1702.0
2017-08-08,1659.0
2017-08-07,1655.0
2017-08-04,1637.0
2017-08-03,1602.0
2017-08-02,1475.0
2017-08-01,1331.0
2017-07-31,1225.0
2017-07-28,1139.0
2017-07-27,1138.0
2017-07-26,1206.0
2017-07-25,1221.0
2017-07-24,1171.0
2017-07-21,1154.0
2017-07-20,1093.0
2017-07-19,1028.0
2017-07-18,984.0
2017-07-17,933.0
2017-07-14,933.0
2017-07-13,928.0
2017-07-12,846.0
2017-07-11,755.0
2017-07-10,730.0
2017-07-07,753.0
2017-07-06,818.0
2017-07-05,901.0
2017-07-04,997.0
2017-07-03,1032.0
2017-06-29,1146.0
2017-06-28,1170.0
2017-06-27,1066.0
2017-06-26,1005.0
2017-06-23,987.0
2017-06-22,993.0
2017-06-21,1020.0
2017-06-20,1110.0
2017-06-19,1169.0
2017-06-09,1438.0
2017-06-08,1381.0
2017-06-07,1379.0
2017-06-06,1366.0
2017-06-05,1353.0
2017-06-02,1374.0
2017-06-01,1430.0
2017-05-31,1511.0
2017-05-30,1564.0
2017-05-26,1591.0
2017-05-25,1595.0
2017-05-24,1654.0
2017-05-23,1706.0
2017-05-22,1704.0
2017-05-19,1668.0
2017-05-18,1638.0
2017-05-17,1590.0
2017-05-16,1632.0
2017-05-15,1661.0
2017-05-12,1725.0
2017-05-11,1695.0
2017-05-10,1645.0
2017-05-09,1635.0
2017-05-08,1571.0
2017-05-05,1480.0
2017-05-04,1458.0
2017-05-03,1542.0
2017-05-02,1668.0
2017-04-28,1779.0
2017-04-27,1798.0
2017-04-26,1790.0
2017-04-25,1767.0
2017-04-24,1780.0
2017-04-21,1830.0
2017-04-20,1991.0
2017-04-19,2130.0
2017-04-18,2220.0
2017-04-13,2249.0
2017-04-12,2252.0
2017-04-11,2227.0
2017-04-10,2165.0
2017-04-07,2173.0
2017-04-06,2184.0
2017-04-05,2229.0
2017-04-04,2382.0
2017-04-03,2518.0
2017-03-31,2597.0
2017-03-30,2690.0
2017-03-29,2755.0
2017-03-28,2765.0
2017-03-27,2620.0
2017-03-24,2482.0
2017-03-23,2345.0
2017-03-22,2378.0
2017-03-21,2441.0
2017-03-20,2466.0
2017-03-17,2413.0
2017-03-16,2265.0
2017-03-15,2136.0
2017-03-14,1929.0
2017-03-13,1843.0
2017-03-10,1789.0
2017-03-09,1678.0
2017-03-08,1578.0
2017-03-07,1556.0
2017-03-06,1345.0
2017-03-03,1227.0
2017-03-02,1097.0
2017-03-01,994.0
2017-02-28,1021.0
2017-02-27,1151.0
2017-02-24,1165.0
2017-02-23,1134.0
2017-02-22,951.0
2017-02-21,856.0
2017-02-20,791.0
2017-02-17,739.0
2017-02-16,620.0
2017-02-15,556.0
2017-02-14,567.0
2017-02-13,609.0
2017-02-10,687.0
2017-02-09,728.0
2017-02-08,725.0
2017-02-07,803.0
2017-02-06,911.0
2017-02-03,981.0
2017-02-02,1064.0
2017-02-01,1122.0
2017-01-31,1167.0
2017-01-30,1205.0
2017-01-27,1239.0
2017-01-26,1287.0
2017-01-25,1369.0
2017-01-24,1466.0
2017-01-23,1579.0
2017-01-20,1610.0
2017-01-19,1665.0
2017-01-18,1673.0
2017-01-17,1509.0
2017-01-16,1468.0
2017-01-13,1383.0
2017-01-12,1294.0
2017-01-11,1326.0
2017-01-10,1470.0
2017-01-09,1598.0
2017-01-06,1658.0
2017-01-05,1759.0
2017-01-04,1674.0
2017-01-03,1538.0
2016-12-23,1385.0
2016-12-22,1219.0
2016-12-21,1144.0
2016-12-20,1044.0
2016-12-19,1039.0
2016-12-16,1048.0
2016-12-15,1058.0
2016-12-14,1169.0
2016-12-13,1404.0
2016-12-12,1464.0
2016-12-09,1575.0
2016-12-08,1724.0
2016-12-07,1935.0
2016-12-06,2067.0
2016-12-05,2137.0
2016-12-02,2193.0
2016-12-01,2206.0
2016-11-30,2263.0
2016-11-29,2304.0
2016-11-28,2260.0
2016-11-25,2263.0
2016-11-24,2374.0
2016-11-23,2507.0
2016-11-22,2598.0
2016-11-21,2638.0
2016-11-18,2752.0
2016-11-17,2731.0
2016-11-16,2441.0
2016-11-15,2282.0
2016-11-14,2338.0
2016-11-11,2303.0
2016-11-10,2010.0
2016-11-09,1954.0
2016-11-08,1786.0
2016-11-07,1636.0
2016-11-04,1593.0
2016-11-03,1544.0
2016-11-02,1451.0
2016-11-01,1443.0
2016-10-31,1534.0
2016-10-28,1417.0
2016-10-27,1248.0
2016-10-26,1275.0
2016-10-25,1348.0
2016-10-24,1471.0
2016-10-21,1575.0
2016-10-20,1637.0
2016-10-19,1826.0
2016-10-18,1950.0
2016-10-17,2003.0
2016-10-14,2018.0
2016-10-13,2018.0
2016-10-12,2154.0
2016-10-11,2235.0
2016-10-10,2235.0
2016-10-07,2245.0
2016-10-06,2218.0
2016-10-05,2012.0
2016-10-04,1970.0
2016-10-03,1971.0
2016-09-30,2008.0
2016-09-29,2067.0
2016-09-28,2196.0
2016-09-27,2298.0
2016-09-26,2325.0
2016-09-23,2383.0
2016-09-22,2389.0
2016-09-21,2118.0
2016-09-20,1964.0
2016-09-19,1853.0
2016-09-16,1680.0
2016-09-15,1487.0
2016-09-14,1444.0
2016-09-13,1607.0
2016-09-12,1581.0
2016-09-09,1566.0
2016-09-08,1478.0
