yil,ay,ort 
2018,01,2073.590909090909
2017,12,3914.733333333333
2017,11,3277.5714285714284
2017,10,2996.1428571428573
2017,09,2726.55
2017,08,2069.3333333333335
2017,07,988.0
2017,06,1216.0666666666666
2017,05,1621.1
2017,04,2099.1176470588234
2017,03,2036.0
2017,02,850.5263157894736
2017,01,1488.5
2016,12,1526.625
2016,11,2152.7619047619046
2016,10,1841.3
2016,09,1720.1904761904761
2016,08,851.0952380952381
2016,07,960.7
2016,06,935.5714285714286
2016,05,860.6315789473684
2016,04,832.8
2016,03,182.95
2016,02,204.8
2016,01,281.10526315789474
2015,12,732.8235294117648
2015,11,876.4
2015,10,1529.6666666666667
2015,09,1528.3809523809523
2015,08,1933.421052631579
2015,07,1606.090909090909
2015,06,1031.857142857143
2015,05,779.7777777777778
2015,04,504.8421052631579
2015,03,437.1904761904762
2015,02,617.1052631578947
2015,01,624.0
2014,12,999.9411764705883
2014,11,3201.5263157894738
2014,10,2042.3333333333333
2014,09,2325.095238095238
2014,08,1813.7894736842106
2014,07,1462.3636363636363
2014,06,1763.3
2014,05,1513.6842105263158
2014,04,1915.111111111111
2014,03,2764.157894736842
2014,02,1654.157894736842
2014,01,2201.6190476190477
2013,12,3828.3125
2013,11,2494.3333333333335
2013,10,3341.590909090909
2013,09,3447.85
2013,08,2078.4
2013,07,1991.0
2013,06,1609.1052631578948
2013,05,1347.35
2013,04,1230.4
2013,03,1276.4444444444443
2013,02,1406.1052631578948
2013,01,1439.2380952380952
2012,12,1606.8
2012,11,2283.4761904761904
2012,10,2089.909090909091
2012,09,1327.0
2012,08,1153.095238095238
2012,07,1323.35
2012,06,1187.2941176470588
2012,05,1546.4761904761904
2012,04,1516.5882352941176
2012,03,1451.904761904762
2012,02,1461.3684210526317
2012,01,1865.85
2011,12,3522.625
2011,11,3053.6666666666665
2011,10,3403.55
2011,09,3127.190476190476
2011,08,2028.4285714285713
2011,07,1951.0
2011,06,1868.3333333333333
2011,05,1587.8947368421052
2011,04,1610.4705882352941
2011,03,1672.6190476190477
2011,02,1376.111111111111
2011,01,1673.888888888889
2010,12,2754.375
2010,11,3700.3
2010,10,4158.3
2010,09,3608.95
2010,08,2960.6
2010,07,1971.6666666666667
2010,06,3844.3809523809523
2010,05,4593.166666666667
2010,04,3251.4736842105262
2010,03,3598.8636363636365
2010,02,3377.315789473684
2010,01,4069.4210526315787
2009,12,5379.0
2009,11,6639.2
2009,10,4120.428571428572
2009,09,3233.5
2009,08,4424.0526315789475
2009,07,5639.318181818182
2009,06,7225.190476190476
2009,05,3591.277777777778
2009,04,2198.5263157894738
2009,03,2182.4545454545455
2009,02,4408.0
